experiment,model,train_data,accuracy,weighted_f1,trace_precision,trace_recall,trace_f1
Experiment 01,Fine-tuned Qwen2.5-0.5B + QLoRA,imbalanced,0.620817843866171,0.5344302569904638,0.8571428571428571,0.15384615384615385,0.2608695652173913
Experiment 02,Fine-tuned Qwen2.5-1.5B + QLoRA,balanced oversampled,0.7732342007434945,0.7568664385797861,0.9375,0.5128205128205128,0.6629834254143646
