accuracy,best_validation_loss,best_validation_perplexity,experiment_id,fold,format_valid_rate,invalid_predictions,macro_f1,macro_precision,macro_recall,no_trace_f1,no_trace_precision,no_trace_recall,no_trace_support,rationale_lexical_token_f1,rationale_present_rate,rationale_rouge_l_f1,test_records,trace_f1,trace_precision,trace_recall,trace_support,valid_predictions,weighted_f1
0.8941798941798942,0.6639467508767496,1.9424435665659527,EXP-17,fold_01,1.0,0,0.8889541715628673,0.8931623931623931,0.8856544014904517,0.9130434782608695,0.8974358974358975,0.9292035398230089,113,0.6325913133536311,1.0,0.5012992437714476,189,0.8648648648648649,0.8888888888888888,0.8421052631578947,76,189,0.8936700675831111
0.8994708994708994,0.6644473599422123,1.9434162148624898,EXP-17,fold_02,1.0,0,0.8947568945810498,0.8977916863486065,0.8922333488588728,0.9170305676855894,0.9051724137931034,0.9292035398230089,113,0.6315589163414865,1.0,0.5035192633110834,189,0.8724832214765101,0.8904109589041096,0.8552631578947368,76,189,0.8991173491041606
0.8783068783068783,0.7157940306031806,2.04581047362759,EXP-17,fold_03,1.0,0,0.8719851576994435,0.8772976844115541,0.8680717279925477,0.9004329004329005,0.8813559322033898,0.9203539823008849,113,0.6344093411490633,1.0,0.5014992634920546,189,0.8435374149659864,0.8732394366197183,0.8157894736842105,76,189,0.8775542925202791
0.91005291005291,0.6718297772851218,1.9578164131674922,EXP-17,fold_04,1.0,0,0.9066666666666666,0.9058441558441559,0.907545412203074,0.9244444444444444,0.9285714285714286,0.9203539823008849,113,0.6337019351422265,1.0,0.505678296378829,189,0.8888888888888888,0.8831168831168831,0.8947368421052632,76,189,0.9101469723691946
0.9259259259259259,0.6867987024105824,1.987343261723336,EXP-17,fold_05,1.0,0,0.921474358974359,0.9324866310160428,0.9143572426641826,0.9401709401709402,0.9090909090909091,0.9734513274336283,113,0.6379878425170492,1.0,0.515735738848126,189,0.9027777777777778,0.9558823529411765,0.8552631578947368,76,189,0.9251345362456475
0.9312169312169312,0.6914860879775011,1.9966805725365353,EXP-17,fold_06,1.0,0,0.927991559450192,0.9312706660368446,0.9252445272473219,0.943231441048035,0.9310344827586207,0.9557522123893806,113,0.6509558556673164,1.0,0.5219304186579522,189,0.912751677852349,0.9315068493150684,0.8947368421052632,76,189,0.9309750283344259
0.873015873015873,0.6978542665935592,2.0094363635315373,EXP-17,fold_07,1.0,0,0.8679552864462039,0.8679552864462039,0.8679552864462039,0.8938053097345132,0.8938053097345132,0.8938053097345132,113,0.6305768303452887,1.0,0.4957345123157321,189,0.8421052631578947,0.8421052631578947,0.8421052631578947,76,189,0.873015873015873
0.9148936170212766,0.695474850274497,2.004660761681658,EXP-17,fold_08,1.0,0,0.9116541353383458,0.91002691002691,0.9135103244837758,0.9285714285714286,0.9369369369369369,0.9203539823008849,113,0.6400677210183766,1.0,0.5231246228654928,188,0.894736842105263,0.8831168831168831,0.9066666666666666,75,188,0.9150735882258838
0.8776595744680851,0.6837308455112473,1.981255719615072,EXP-17,fold_09,1.0,0,0.8702241964044539,0.8786764705882353,0.8646017699115045,0.9012875536480688,0.875,0.9292035398230089,113,0.6227806882684788,1.0,0.4952431985318661,188,0.8391608391608392,0.8823529411764706,0.8,75,188,0.8765029601026314
0.8882978723404256,0.7021361385359752,2.018058959969299,EXP-17,fold_10,1.0,0,0.8837969094922737,0.8829887218045113,0.884660766961652,0.9066666666666666,0.9107142857142857,0.9026548672566371,113,0.639942406650626,1.0,0.5173965051462978,188,0.8609271523178809,0.8552631578947368,0.8666666666666667,75,188,0.8884195199849702
0.8783068783068783,0.670027713291347,1.9542914797346276,EXP-18,fold_01,1.0,0,0.872600451334955,0.8754723665564479,0.8702258965999068,0.8995633187772926,0.8879310344827587,0.911504424778761,113,0.6276765358083954,1.0,0.4968839141342912,189,0.8456375838926175,0.863013698630137,0.8289473684210527,76,189,0.877878896283984
0.9047619047619048,0.6692516528579836,1.9527754197951028,EXP-18,fold_02,1.0,0,0.9000587544065805,0.9043803418803419,0.8966581276199348,0.9217391304347826,0.905982905982906,0.9380530973451328,113,0.6312378627712888,1.0,0.5052904115941058,189,0.8783783783783783,0.9027777777777778,0.8552631578947368,76,189,0.9043030608247999
0.8783068783068783,0.720024727483081,2.05448401223444,EXP-18,fold_03,1.0,0,0.8713334319964483,0.8795289855072463,0.8659175593851887,0.9012875536480688,0.875,0.9292035398230089,113,0.6324871701780608,1.0,0.4958852630938274,189,0.8413793103448277,0.8840579710144928,0.8026315789473685,76,189,0.8771974663938553
0.9153439153439153,0.6781021933147795,1.9701352462551311,EXP-18,fold_04,1.0,0,0.911970190964136,0.911970190964136,0.911970190964136,0.9292035398230089,0.9292035398230089,0.9292035398230089,113,0.6320581738087199,1.0,0.5064044901675334,189,0.8947368421052632,0.8947368421052632,0.8947368421052632,76,189,0.9153439153439153
