metric,mean,std,min,max
accuracy,0.7027842681499792,0.04337619486927906,0.6507936507936508,0.776536312849162
trace_precision,0.5908300419578308,0.044987923452121256,0.5367647058823529,0.6781609195402298
trace_recall,0.8783598528105571,0.07160436158463653,0.7631578947368421,0.9605263157894737
trace_f1,0.7040863446950335,0.034288315869214686,0.6444444444444445,0.7624309392265194
no_trace_precision,0.8838443863938322,0.054932619680757536,0.7857142857142857,0.9433962264150944
no_trace_recall,0.5848658425981434,0.09040147990583998,0.4424778761061947,0.7407407407407407
no_trace_f1,0.6983636510177357,0.06105603834715638,0.6024096385542169,0.8
