method,run,seed,accuracy,trace_precision,trace_recall,trace_f1,trace_support,no_trace_precision,no_trace_recall,no_trace_f1,no_trace_support,valid_predictions,invalid_predictions,total_records,confusion_matrix,prediction_file,demo_file,test_file,completed_at_utc
zero_shot,1,42,0.88,0.9318181818181818,0.82,0.8723404255319149,50,0.8392857142857143,0.94,0.8867924528301887,50,100,0,100,"[[41, 9], [3, 47]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/simple/zero_shot_predictions.csv,gemma_traceability/data/no_finetuning/simple/zero_shot_examples.jsonl,gemma_traceability/data/no_finetuning/simple/test_100.jsonl,2026-09-17T07:25:43.513656+00:00
five_shot,1,42,0.82,0.9444444444444444,0.68,0.7906976744186046,50,0.75,0.96,0.8421052631578947,50,100,0,100,"[[34, 16], [2, 48]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/simple/five_shot_predictions.csv,gemma_traceability/data/no_finetuning/simple/five_shot_examples.jsonl,gemma_traceability/data/no_finetuning/simple/test_100.jsonl,2026-09-17T07:26:12.836675+00:00
ten_shot,1,42,0.82,0.9444444444444444,0.68,0.7906976744186046,50,0.75,0.96,0.8421052631578947,50,100,0,100,"[[34, 16], [2, 48]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/simple/ten_shot_predictions.csv,gemma_traceability/data/no_finetuning/simple/ten_shot_examples.jsonl,gemma_traceability/data/no_finetuning/simple/test_100.jsonl,2026-09-17T07:26:48.555958+00:00
