metric,mean,std,min,max
accuracy,0.9184087583023753,0.025785509654273033,0.873015873015873,0.9523809523809523
trace_precision,0.9039198959400198,0.039922620300665686,0.8513513513513513,0.9852941176470589
trace_recall,0.8930526315789473,0.048931205279532236,0.8026315789473685,0.9605263157894737
trace_f1,0.897570478725261,0.033372874737260264,0.84,0.9411764705882353
no_trace_precision,0.9296962490737194,0.030366627496082165,0.8760330578512396,0.9711538461538461
no_trace_recall,0.9353982300884955,0.028615089823664386,0.8938053097345132,0.9911504424778761
no_trace_f1,0.9321288565456982,0.021124036934987572,0.8947368421052632,0.9613733905579399
