metric,mean,std,min,max
accuracy,0.7403524932877971,0.0475859812002438,0.6521739130434783,0.7953216374269005
trace_precision,0.6858789122758687,0.0680231020822682,0.5811965811965812,0.7818181818181819
trace_recall,0.7006827880512091,0.21920229455350135,0.28,0.9733333333333334
trace_f1,0.6709359614378837,0.11827493733516138,0.39622641509433965,0.7724867724867724
no_trace_precision,0.8116989983690819,0.09958528499450443,0.6470588235294118,0.9726027397260274
no_trace_recall,0.7683559886978183,0.1186410684215501,0.5625,0.908256880733945
no_trace_f1,0.7766402716147335,0.0407643128625118,0.6885245901639344,0.8241206030150754
