metric,mean,std,min,max
accuracy,0.6421125962002655,0.010484406721128416,0.6304347826086957,0.6630434782608695
trace_precision,1.0,0.0,1.0,1.0
trace_recall,0.07677527102817978,0.028377626460236595,0.04225352112676056,0.1388888888888889
trace_f1,0.14146201349741538,0.04809788352433852,0.08108108108108109,0.24390243902439024
no_trace_precision,0.631168550792979,0.007451478103130146,0.6208791208791209,0.6436781609195402
no_trace_recall,1.0,0.0,1.0,1.0
no_trace_f1,0.7738621533178811,0.005590955644244481,0.7661016949152543,0.7832167832167832
