metric,mean,std,min,max
accuracy,0.9194585162670269,0.03421593116553501,0.8624338624338624,0.9629629629629629
trace_precision,0.9238100704811454,0.03712936450422017,0.8611111111111112,0.9852941176470589
trace_recall,0.8718947368421053,0.07498899523700155,0.75,0.9736842105263158
trace_f1,0.8955791694829359,0.047265024196605776,0.8142857142857143,0.9548387096774194
no_trace_precision,0.9191035349530549,0.04433011632760438,0.848,0.9818181818181818
no_trace_recall,0.9513274336283186,0.02511708903528967,0.911504424778761,0.9911504424778761
no_trace_f1,0.9343365912375856,0.026833435675318703,0.8907563025210085,0.968609865470852
