method,runs,accuracy_mean,accuracy_std,trace_precision_mean,trace_precision_std,trace_recall_mean,trace_recall_std,trace_f1_mean,trace_f1_std,no_trace_precision_mean,no_trace_precision_std,no_trace_recall_mean,no_trace_recall_std,no_trace_f1_mean,no_trace_f1_std,total_valid_predictions,total_invalid_predictions,total_records,confusion_matrix_sum
five_shot,10,0.867,0.018885620632287076,0.9701690051497497,0.025195484568231917,0.758,0.03823901439919997,0.8503427567637043,0.0234505702244559,0.8020784260151826,0.025070662335435347,0.976,0.020655911179772907,0.8802128644588625,0.015848644889959657,1000,0,1000,"[[379, 121], [12, 488]]"
ten_shot,10,0.872,0.022010098692292257,0.9733774742935265,0.023793968617940996,0.766,0.05168279318217147,0.8559691373261855,0.030392652324379446,0.8083337716442588,0.03096331008044332,0.978,0.01988857852023508,0.8845832000161984,0.016835762632097614,1000,0,1000,"[[383, 117], [11, 489]]"
