metric,mean,std,min,max
accuracy,0.7156743914234055,0.032595743961058,0.6684782608695652,0.7880434782608695
trace_precision,0.6125257277777749,0.04978017342208959,0.5546218487394958,0.7108433734939759
trace_recall,0.8563157894736841,0.12423469774670622,0.5394736842105263,0.96
trace_f1,0.7065807751393611,0.04247470335667994,0.6029411764705882,0.7515923566878981
no_trace_precision,0.878215298750946,0.06550347136530482,0.7265625,0.9523809523809523
no_trace_recall,0.6198006623924055,0.1085672064321818,0.5089285714285714,0.8303571428571429
no_trace_f1,0.7178283172281391,0.0504842032514426,0.6514285714285715,0.8151658767772512
