metric,mean,std,min,max
accuracy,0.40544500205467543,0.0036784632274843563,0.40106951871657753,0.4117647058823529
trace_precision,0.4038606420293206,0.003048180257663848,0.40106951871657753,0.40860215053763443
trace_recall,1.0,0.0,1.0,1.0
trace_f1,0.5753511310564047,0.00308957764109633,0.5725190839694656,0.5801526717557252
no_trace_precision,0.5,0.5270462766947299,0.0,1.0
no_trace_recall,0.004448625300395212,0.004689503236644373,0.0,0.009009009009009009
no_trace_f1,0.008818783684875906,0.009296282421412396,0.0,0.017857142857142856
